DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO;PERIODO_AGRICOLA;CULTIVO;SUPERFICIE_VERDE;SIEMBRA;COSECHA;RENDIMIENTO;PRODUCCION;PRECIO_CHACRA;SUPERFICIE_PERDIDA;VALOR_PRODUCCION;FECHA_CORTE
CUSCO;ACOMAYO;MOSOCLLACTA;080204;2020;ARVEJA GRANO SECO;7;7;7;1142.857;8;2.2;NULL;17.6;20230810
CUSCO;ACOMAYO;MOSOCLLACTA;080204;2020;AVENA FORRAJERA;1;1;1;40000;40;0.4;NULL;16;20230810
CUSCO;ACOMAYO;MOSOCLLACTA;080204;2020;CEBADA GRANO;126.909090909091;143;143;1251.748;179;1.2;NULL;214.8;20230810
CUSCO;ACOMAYO;MOSOCLLACTA;080204;2020;CHOCHO O TARHUI GRANO SECO;3.46153846153846;3;3;1000;3;5.45;NULL;16.35;20230810
CUSCO;ACOMAYO;MOSOCLLACTA;080204;2020;HABA GRANO SECO;53;51;51;1254.901;64;2.25;NULL;144;20230810
CUSCO;ACOMAYO;MOSOCLLACTA;080204;2020;MAIZ AMILACEO;85.375;90;90;1400;126;4.3;NULL;541.8;20230810
CUSCO;ACOMAYO;MOSOCLLACTA;080204;2020;MASHUA O IZANO;1;1;1;5000;5;1.8;NULL;9;20230810
CUSCO;ACOMAYO;MOSOCLLACTA;080204;2020;OCA;1;1;1;5000;5;1.9;NULL;9.5;20230810
CUSCO;ACOMAYO;MOSOCLLACTA;080204;2020;OLLUCO;2.63636363636364;3;3;5000;15;1.4;NULL;21;20230810
CUSCO;ACOMAYO;MOSOCLLACTA;080204;2020;PAPA (agrupa mejoradas y nativas);105.818181818182;125;125;11504;1438;1.132;NULL;1627.816;20230810
CUSCO;ACOMAYO;MOSOCLLACTA;080204;2020;QUINUA;1;1;1;1000;1;4.95;NULL;4.95;20230810
CUSCO;ACOMAYO;MOSOCLLACTA;080204;2020;TRIGO BLANDO;7.54545454545455;7;7;1285.714;9;1.95;NULL;17.55;20230810
CUSCO;ACOMAYO;POMACANCHI;080205;2020;ALFALFA;146;NULL;146;80958.904;11820;0.5;NULL;5910;20230810
CUSCO;ACOMAYO;POMACANCHI;080205;2020;ARVEJA GRANO SECO;20;17;17;1117.647;19;2.2;NULL;41.8;20230810
CUSCO;ACOMAYO;POMACANCHI;080205;2020;AVENA FORRAJERA;7;9;9;40000;360;0.4;NULL;144;20230810
CUSCO;ACOMAYO;POMACANCHI;080205;2020;CEBADA GRANO;391.2;432;432;1250;540;1.2;NULL;648;20230810
CUSCO;ACOMAYO;POMACANCHI;080205;2020;CHOCHO O TARHUI GRANO SECO;14.3846153846154;14;14;1000;14;5.5;NULL;77;20230810
CUSCO;ACOMAYO;POMACANCHI;080205;2020;HABA GRANO SECO;244.214285714286;250;250;1300;325;2.3;NULL;747.5;20230810
CUSCO;ACOMAYO;POMACANCHI;080205;2020;MAIZ AMILACEO;119.0625;126;126;1452.38;183;4.35;NULL;796.05;20230810
CUSCO;ACOMAYO;POMACANCHI;080205;2020;MASHUA O IZANO;3.07692307692308;3;3;5000;15;2;NULL;30;20230810
CUSCO;ACOMAYO;POMACANCHI;080205;2020;MELOCOTONERO;21;NULL;21;6000;126;4.5;NULL;567;20230810
CUSCO;ACOMAYO;POMACANCHI;080205;2020;OCA;5;5;5;5000;25;1.95;NULL;48.75;20230810
CUSCO;ACOMAYO;POMACANCHI;080205;2020;OLLUCO;10.3333333333333;11;11;5000;55;1.373;NULL;75.515;20230810
CUSCO;ACOMAYO;POMACANCHI;080205;2020;PAPA (agrupa mejoradas y nativas);272.692307692308;357;357;12000;4284;1.157;NULL;4956.588;20230810
CUSCO;ACOMAYO;POMACANCHI;080205;2020;QUINUA;13.9166666666667;14;14;1000;14;5.65;NULL;79.1;20230810
CUSCO;ACOMAYO;POMACANCHI;080205;2020;TRIGO BLANDO;51.6666666666667;58;58;1310.344;76;1.934;NULL;146.984;20230810
CUSCO;ACOMAYO;RONDOCAN;080206;2020;ALFALFA;13.9411764705882;NULL;10;81000;810;0.5;NULL;405;20230810
CUSCO;ACOMAYO;RONDOCAN;080206;2020;ARVEJA GRANO SECO;20.5833333333333;22;22;1090.909;24;2.25;NULL;54;20230810
CUSCO;ACOMAYO;RONDOCAN;080206;2020;AVENA FORRAJERA;1.75;2;2;40000;80;0.4;NULL;32;20230810
CUSCO;ACOMAYO;RONDOCAN;080206;2020;CEBADA GRANO;61.5833333333333;78;78;1256.41;98;1.25;NULL;122.5;20230810
CUSCO;ACOMAYO;RONDOCAN;080206;2020;CHOCHO O TARHUI GRANO SECO;13.1666666666667;14;14;1000;14;5.3;NULL;74.2;20230810
CUSCO;ACOMAYO;RONDOCAN;080206;2020;FRIJOL GRANO SECO;2;2;2;1000;2;3.5;NULL;7;20230810
CUSCO;ACOMAYO;RONDOCAN;080206;2020;HABA GRANO SECO;57.3333333333333;64;64;1203.125;77;2.3;NULL;177.1;20230810
CUSCO;ACOMAYO;RONDOCAN;080206;2020;MAIZ AMILACEO;112.375;128;128;1453.125;186;4.2;NULL;781.2;20230810
CUSCO;ACOMAYO;RONDOCAN;080206;2020;MASHUA O IZANO;1.72727272727273;2;2;5000;10;1.8;NULL;18;20230810
CUSCO;ACOMAYO;RONDOCAN;080206;2020;OCA;1.72727272727273;2;2;5000;10;1.9;NULL;19;20230810
CUSCO;ACOMAYO;RONDOCAN;080206;2020;OLLUCO;11.8333333333333;14;14;5000;70;1.307;NULL;91.49;20230810
CUSCO;ACOMAYO;RONDOCAN;080206;2020;PAPA (agrupa mejoradas y nativas);97.6153846153846;112;112;12000;1344;1.124;NULL;1510.656;20230810
CUSCO;ACOMAYO;RONDOCAN;080206;2020;QUINUA;16;15;15;1000;15;5.65;NULL;84.75;20230810
CUSCO;ACOMAYO;RONDOCAN;080206;2020;TRIGO BLANDO;121.692307692308;144;144;1298.611;187;1.844;NULL;344.828;20230810
CUSCO;ACOMAYO;SANGARARÁ;080207;2020;ALFALFA;49;NULL;49;75306.122;3690;0.5;NULL;1845;20230810
CUSCO;ACOMAYO;SANGARARÁ;080207;2020;ARVEJA GRANO SECO;11.5;12;12;1083.333;13;2.2;NULL;28.6;20230810
CUSCO;ACOMAYO;SANGARARÁ;080207;2020;AVENA FORRAJERA;3.5;4;4;40000;160;0.4;NULL;64;20230810
CUSCO;ACOMAYO;SANGARARÁ;080207;2020;CEBADA GRANO;160.833333333333;215;215;1251.162;269;1.107;NULL;297.783;20230810
CUSCO;ACOMAYO;SANGARARÁ;080207;2020;CHOCHO O TARHUI GRANO SECO;16;16;16;1000;16;5.35;NULL;85.6;20230810
CUSCO;ACOMAYO;SANGARARÁ;080207;2020;HABA GRANO SECO;150.714285714286;154;154;1253.246;193;2.25;NULL;434.25;20230810
CUSCO;ACOMAYO;SANGARARÁ;080207;2020;MAIZ AMILACEO;10.4375;12;12;1416.666;17;4.3;NULL;73.1;20230810
CUSCO;ACOMAYO;SANGARARÁ;080207;2020;MASHUA O IZANO;2;2;2;5000;10;2;NULL;20;20230810
CUSCO;ACOMAYO;SANGARARÁ;080207;2020;OCA;2.27272727272727;2;2;5000;10;1.8;NULL;18;20230810
CUSCO;ACOMAYO;SANGARARÁ;080207;2020;OLLUCO;6.66666666666667;8;8;5000;40;1.2;NULL;48;20230810
CUSCO;ACOMAYO;SANGARARÁ;080207;2020;PAPA (agrupa mejoradas y nativas);189.583333333333;234;234;12000;2808;1.141;NULL;3203.928;20230810
CUSCO;ACOMAYO;SANGARARÁ;080207;2020;QUINUA;9.30769230769231;11;11;1000;11;5.65;NULL;62.15;20230810
CUSCO;ACOMAYO;SANGARARÁ;080207;2020;TRIGO BLANDO;22.5833333333333;24;24;1300;31.2;1.875;NULL;58.5;20230810
CUSCO;CALCA;CALCA;080401;2020;ALFALFA;34;NULL;34;75088.235;2553;0.45;NULL;1148.85;20230810
CUSCO;CALCA;CALCA;080401;2020;ARVEJA GRANO SECO;24.1;28;28;1321.428;37;3;NULL;111;20230810
CUSCO;CALCA;CALCA;080401;2020;ARVEJA GRANO VERDE;9.1;5;3;5000;15;2;NULL;30;20230810
CUSCO;CALCA;CALCA;080401;2020;AVENA FORRAJERA;6.66666666666667;5;5;20000;100;0.5;NULL;50;20230810
CUSCO;CALCA;CALCA;080401;2020;CEBADA  FORRAJERA;8.14285714285714;11;11;12272.727;135;0.283;NULL;38.205;20230810
CUSCO;CALCA;CALCA;080401;2020;CEBADA GRANO;57.9090909090909;70;70;2385.714;167;1.3;NULL;217.1;20230810
CUSCO;CALCA;CALCA;080401;2020;CEBOLLA;2.07142857142857;NULL;1;12000;12;1.5;NULL;18;20230810
CUSCO;CALCA;CALCA;080401;2020;CHOCHO O TARHUI GRANO SECO;18.1333333333333;20;20;2400;48;3.075;NULL;147.6;20230810
CUSCO;CALCA;CALCA;080401;2020;COL O REPOLLO;2;3;3;20000;60;1.4;NULL;84;20230810
CUSCO;CALCA;CALCA;080401;2020;COLIFLOR;2;1;2;8000;16;1.2;NULL;19.2;20230810
CUSCO;CALCA;CALCA;080401;2020;HABA GRANO SECO;27.9230769230769;35;35;2400;84;1.5;NULL;126;20230810
CUSCO;CALCA;CALCA;080401;2020;HABA GRANO VERDE;3.81818181818182;5;4;6000;24;1.65;NULL;39.6;20230810
CUSCO;CALCA;CALCA;080401;2020;MAIZ AMILACEO;859.066666666667;985;1005;4671.641;4695;3.59;NULL;16855.05;20230810
CUSCO;CALCA;CALCA;080401;2020;MAIZ CHOCLO;131.363636363636;60;70;18000;1260;0.314;NULL;395.64;20230810
CUSCO;CALCA;CALCA;080401;2020;MASHUA O IZANO;15.1666666666667;10;10;6000;60;0.85;NULL;51;20230810
CUSCO;CALCA;CALCA;080401;2020;OCA;23.9166666666667;15;15;6000;90;0.7;NULL;63;20230810
CUSCO;CALCA;CALCA;080401;2020;OLLUCO;37.1428571428571;37;40;5000;200;1.588;NULL;317.6;20230810
CUSCO;CALCA;CALCA;080401;2020;PAPA (agrupa mejoradas y nativas);245.066666666667;318;318;12547.169;3990;1.343;NULL;5358.57;20230810
CUSCO;CALCA;CALCA;080401;2020;QUINUA;13.3636363636364;10;10;2550;25.5;3;NULL;76.5;20230810
CUSCO;CALCA;CALCA;080401;2020;TRIGO BLANDO;31.6363636363636;25;25;2000;50;1.6;NULL;80;20230810
CUSCO;CALCA;CALCA;080401;2020;ZANAHORIA;3;5;3;13333.333;40;1.22;NULL;48.8;20230810
CUSCO;CALCA;COYA;080402;2020;ALFALFA;31;NULL;31;65225.806;2022;0.463;NULL;936.186;20230810
CUSCO;CALCA;COYA;080402;2020;ARVEJA GRANO SECO;9.6;12;12;1333.333;16;2;NULL;32;20230810
CUSCO;CALCA;COYA;080402;2020;ARVEJA GRANO VERDE;5.1;6;4;5000;20;2;NULL;40;20230810
CUSCO;CALCA;COYA;080402;2020;AVENA FORRAJERA;10;10;10;20000;200;0.5;NULL;100;20230810
CUSCO;CALCA;COYA;080402;2020;CEBADA  FORRAJERA;7.35714285714286;8;9;15000;135;0.344;NULL;46.44;20230810
CUSCO;CALCA;COYA;080402;2020;CEBADA GRANO;36.0909090909091;55;55;2600;143;1.3;NULL;185.9;20230810
CUSCO;CALCA;COYA;080402;2020;CEBOLLA;4.76470588235294;12;7;14857.142;104;0.572;NULL;59.488;20230810
CUSCO;CALCA;COYA;080402;2020;CHOCHO O TARHUI GRANO SECO;17.3571428571429;20;20;2250;45;2.22;NULL;99.9;20230810
CUSCO;CALCA;COYA;080402;2020;HABA GRANO SECO;20;18;18;2166.666;39;1.5;NULL;58.5;20230810
CUSCO;CALCA;COYA;080402;2020;HABA GRANO VERDE;4.6;5;4;6000;24;1.8;NULL;43.2;20230810
CUSCO;CALCA;COYA;080402;2020;MAIZ AMILACEO;329.066666666667;373;375;4640;1740;3.819;NULL;6645.06;20230810
CUSCO;CALCA;COYA;080402;2020;MAIZ CHOCLO;28.3636363636364;15;18;17000;306;0.306;NULL;93.636;20230810
CUSCO;CALCA;COYA;080402;2020;MASHUA O IZANO;10.0833333333333;8;8;5625;45;0.7;NULL;31.5;20230810
CUSCO;CALCA;COYA;080402;2020;OCA;12.8333333333333;10;10;6000;60;0.85;NULL;51;20230810
CUSCO;CALCA;COYA;080402;2020;OLLUCO;14.6153846153846;16;16;6000;96;1.4;NULL;134.4;20230810
CUSCO;CALCA;COYA;080402;2020;PAPA (agrupa mejoradas y nativas);325.8;427;428;11556.074;4946;1.275;NULL;6306.15;20230810
CUSCO;CALCA;COYA;080402;2020;QUINUA;10;10;10;2500;25;3;NULL;75;20230810
CUSCO;CALCA;COYA;080402;2020;TRIGO BLANDO;13.4;15;15;2000;30;1.6;NULL;48;20230810
CUSCO;CALCA;COYA;080402;2020;ZANAHORIA;3.88235294117647;10;6;15500;93;0.7;NULL;65.1;20230810
CUSCO;CALCA;LAMAY;080403;2020;ALFALFA;59;NULL;59;60033.898;3542;0.45;NULL;1593.9;20230810
CUSCO;CALCA;LAMAY;080403;2020;ARVEJA GRANO SECO;14;15;15;2200;33;1.5;NULL;49.5;20230810
CUSCO;CALCA;LAMAY;080403;2020;ARVEJA GRANO VERDE;4.5;3;2;5000;10;2;NULL;20;20230810
CUSCO;CALCA;LAMAY;080403;2020;AVENA FORRAJERA;16.1;18;18;20000;360;0.5;NULL;180;20230810
CUSCO;CALCA;LAMAY;080403;2020;CEBADA  FORRAJERA;7;6;8;15000;120;0.288;NULL;34.56;20230810
CUSCO;CALCA;LAMAY;080403;2020;CEBADA GRANO;31.4545454545455;43;43;2604.651;112;1.3;NULL;145.6;20230810
CUSCO;CALCA;LAMAY;080403;2020;CEBOLLA;1.92307692307692;3;3;14666.666;44;0.534;NULL;23.496;20230810
